objectid,statefp10,countyfp10,tractce10,blkgrpce10,geoid10,namelsad10,mtfcc10,funcstat10,aland10,awater10,intptlat10,intptlon10,hood,hood_no,acres,sqmiles,sectors,tract,cdbg2014,tracttext,objectid_1,tractce10_1,cnt_tractce10,sum_lowmod2018,sum_lowmoduniv,lowmodperct,lowmodpercanno,cdbg2018,Shape__Area,Shape__Length
1,42,003,040500,1,420030405001,Block Group 1,G5030,S,268195,0,+40.4406805,-079.9542332,Central Oakland,20,180.883,0.281,14,0405,Yes,405,7,040500,2,2775,2985,92.96482412,92.96,Yes,5079491.99523926,10442.0364495411
2,42,003,040400,1,420030404001,Block Group 1,G5030,S,75472,0,+40.4458408,-079.9483932,North Oakland,56,320.679,0.499,14,0404,Yes,404,6,040400,2,1365,2020,67.57425743,67.57,Yes,2105489.3614502,6609.68812270479
3,42,003,040200,2,420030402002,Block Group 2,G5030,S,282679,0,+40.4412437,-079.9626107,West Oakland,88,138.372,0.215,14,0402,Yes,402,5,040200,2,1070,1290,82.94573643,82.94,Yes,5998648.88494873,18280.4840809664
4,42,003,030500,2,420030305002,Block Group 2,G5030,S,284548,0,+40.4403871,-079.9813476,Crawford-Roberts,24,166.101,0.258,15,0305,Yes,305,4,030500,2,1635,2130,76.76056338,76.76,Yes,7203631.27337646,15694.7714435017
5,42,003,980000,1,420039800001,Block Group 1,G5030,S,637235,237268,+40.4875790,-079.8907469,Lincoln-Lemington-Belmar,47,180.105,0.28,11,9800,No,9800,125,980000,1,65,220,29.54545455,29.54,No,7764865.67108154,13581.875089306
6,42,003,020300,1,420030203001,Block Group 1,G5030,S,1593129,329216,+40.4544996,-079.9812762,Strip District,80,390.864,0.608,13,0203,No,203,3,020300,1,110,730,15.06849315,15.06,No,16948752.791687,24019.5326720746
7,42,003,020100,4,420030201004,Block Group 4,G5030,S,281715,0,+40.4406777,-079.9892121,Central Business District,17,411.593,0.64,16,0201,No,201,2,020100,6,1125,2875,39.13043478,39.13,No,17845910.1883545,23034.9290564587
8,42,003,262000,1,420032620001,Block Group 1,G5030,S,607576,0,+40.4632158,-079.9941680,Spring Hill-City View,75,404.765,0.63,1,2620,Yes,2620,93,262000,3,1665,2360,70.55084746,70.55,Yes,17543400.4021606,18197.7060727764
9,42,003,261500,1,420032615001,Block Group 1,G5030,S,350522,0,+40.4733966,-080.0097343,Perry South,62,581.656,0.905,2,2615,Yes,2615,92,261500,2,1055,1485,71.04377104,71.04,Yes,12171522.2305298,20804.7853995511
10,42,003,261400,2,420032614002,Block Group 2,G5030,S,353594,0,+40.4619992,-080.0134962,Perry South,62,581.656,0.905,2,2614,Yes,2614,91,261400,4,1500,1780,84.26966292,84.26,Yes,13045221.5126343,17955.7119819786
11,42,003,261200,1,420032612001,Block Group 1,G5030,S,1057787,0,+40.4922173,-080.0081121,Summer Hill,81,282.104,0.439,1,2612,No,2612,90,261200,1,385,1190,32.35294118,32.35,No,12232534.024231,20906.8294086389
12,42,003,260900,1,420032609001,Block Group 1,G5030,S,812036,0,+40.4776383,-080.0025945,Northview Heights,58,201.558,0.313,1,2609,Yes,2609,89,260900,1,1490,1545,96.44012945,96.44,Yes,8727371.21600342,13757.3319460598
13,42,003,260700,2,420032607002,Block Group 2,G5030,S,301991,0,+40.4818975,-080.0108700,Perry North,61,779.088,1.212,2,2607,Yes,2607,88,260700,2,685,1730,39.59537572,39.59,No,7230346.35906982,17023.9161840364
14,42,003,563100,2,420035631002,Block Group 2,G5030,S,880129,0,+40.4320100,-080.0530374,Westwood,89,445.009,0.692,4,5631,No,5631,123,563100,3,1720,3855,44.61738003,44.61,No,29487865.5181885,32824.1155218192
15,42,003,562400,5,420035624005,Block Group 5,G5030,S,138709,0,+40.4197360,-079.9991617,Beltzhoover,9,270.374,0.421,6,5624,No,5624,116,562400,5,1700,2620,64.88549618,64.88,Yes,20475606.605896,20441.667040214
16,42,003,981000,1,420039810001,Block Group 1,G5030,S,1377043,0,+40.4730821,-079.9488759,Central Lawrenceville,18,619.199,0.963,13,9810,No,9810,134,981000,1,0,0,0,0,No,14947687.3206787,20578.3752221362
17,42,003,170200,1,420031702001,Block Group 1,G5030,S,406640,81747,+40.4302576,-079.9922422,South Side Flats,72,601.553,0.936,7,1702,No,1702,65,170200,4,1700,2965,57.33558179,57.33,Yes,12045371.454895,17671.0940213694
18,42,003,180300,3,420031803003,Block Group 3,G5030,S,140530,0,+40.4191918,-079.9927314,Allentown,3,189.608,0.295,6,1803,Yes,1803,67,180300,3,1880,2525,74.45544554,74.45,Yes,8221046.10351563,16208.0148840755
